fid,id,LDEN,st_area_sh,st_length_,Long,Lat
265,265467,56,100.077758595,40.015548699,3.90271,43.61725
266,266237,55,100.07828534,40.0156540055,3.86653,43.61756
267,266251,50,100.07778136,40.0155532492,3.86926,43.61752
268,266857,63,100.07726221,40.0154494591,3.89737,43.61705
269,268541,54,100.077284975,40.0154540123,3.86441,43.61714
270,269302,63,100.077819395,40.0155608542,3.827,43.61746
271,269777,55,100.07831577,40.0156600891,3.82861,43.61735
272,271085,56,100.077773765,40.0155517318,3.88719,43.61638
273,273644,57,100.07776618,40.0155502144,3.88681,43.61594
274,274883,58,100.077819395,40.0155608542,3.82078,43.61655
275,277787,57,100.07776618,40.0155502144,3.88555,43.61523
276,278383,54,100.07726221,40.0154494591,3.90314,43.6149
277,278818,61,400.31311096,100.038877812,3.88165,43.61511
278,279978,53,200.15550204,60.0233215326,3.91143,43.61456
279,280246,52,100.07779656,40.015556288,3.84801,43.61529
280,281446,58,100.07828534,40.0156540055,3.86448,43.61489
281,282227,50,200.15719274,60.0235489008,3.79183,43.61566
282,284994,55,200.15666965,60.0234450887,3.80222,43.61508
283,285361,68,100.07777376,40.0155517328,3.88441,43.61399
284,285651,57,300.23342392,80.0310163817,3.83486,43.61456
285,286128,56,100.07782702,40.0155623777,3.81008,43.6148
286,287453,54,100.07778136,40.0155532492,3.86532,43.61389
287,287524,53,100.07827774,40.0156524881,3.88043,43.61368
288,287939,54,100.078292935,40.0156555259,3.8533,43.61396
289,287970,55,100.07828534,40.0156540055,3.85801,43.61389
290,288823,52,200.15617711,60.0234466134,3.79576,43.61453
291,289722,56,100.078292935,40.0156555259,3.86618,43.61351
292,289987,52,100.078331015,40.0156631369,3.80449,43.61424
293,291160,51,200.15760145,60.023535186,3.84183,43.61357
294,292070,59,100.078323385,40.0156616135,3.82269,43.61364
295,292892,50,100.078262565,40.0156494543,3.89391,43.6126
296,293613,50,100.078323385,40.0156616135,3.82665,43.61332
297,294014,56,200.158177835,60.0237473686,3.79865,43.61364
298,294390,53,500.391805445,120.046946845,3.89537,43.61232
299,294828,55,100.07876654,40.0157502086,3.88424,43.61237
