wkt_geom;id;left;top;right;bottom;NUMPOINTS
Polygon ((18.46015815325629816 57.03711480807085366, 18.54676069363474156 57.18711480807085934, 18.71996577439162834 57.18711480807085934, 18.80656831477007174 57.03711480807085366, 18.71996577439162834 56.88711480807085508, 18.54676069363474156 56.88711480807085508, 18.46015815325629816 57.03711480807085366));34;18.460158153256298;57.18711480807086;18.80656831477007;56.887114808070855;7
Polygon ((18.7199657743916319 58.08711480807085792, 18.80656831477007529 58.2371148080708565, 18.97977339552696208 58.2371148080708565, 19.06637593590540547 58.08711480807085792, 18.97977339552696208 57.93711480807085934, 18.80656831477007529 57.93711480807085934, 18.7199657743916319 58.08711480807085792));37;18.719965774391632;58.23711480807086;19.066375935905405;57.93711480807086;0
Polygon ((18.46015815325629816 56.43711480807085934, 18.54676069363474156 56.58711480807085792, 18.71996577439162834 56.58711480807085792, 18.80656831477007174 56.43711480807085934, 18.71996577439162834 56.28711480807085366, 18.54676069363474156 56.28711480807085366, 18.46015815325629816 56.43711480807085934));36;18.460158153256298;56.58711480807086;18.80656831477007;56.287114808070854;0
Polygon ((18.7199657743916319 57.4871148080708565, 18.80656831477007529 57.63711480807085508, 18.97977339552696208 57.63711480807085508, 19.06637593590540547 57.4871148080708565, 18.97977339552696208 57.33711480807085792, 18.80656831477007529 57.33711480807085792, 18.7199657743916319 57.4871148080708565));39;18.719965774391632;57.637114808070855;19.066375935905405;57.33711480807086;3
Polygon ((18.7199657743916319 57.78711480807085366, 18.80656831477007529 57.93711480807085934, 18.97977339552696208 57.93711480807085934, 19.06637593590540547 57.78711480807085366, 18.97977339552696208 57.63711480807085508, 18.80656831477007529 57.63711480807085508, 18.7199657743916319 57.78711480807085366));38;18.719965774391632;57.93711480807086;19.066375935905405;57.637114808070855;2
Polygon ((19.49938863779762599 57.33711480807085792, 19.58599117817606938 57.4871148080708565, 19.75919625893295617 57.4871148080708565, 19.84579879931139956 57.33711480807085792, 19.75919625893295617 57.18711480807085934, 19.58599117817606938 57.18711480807085934, 19.49938863779762599 57.33711480807085792));57;19.499388637797626;57.48711480807086;19.8457987993114;57.18711480807086;0
Polygon ((19.49938863779762599 57.63711480807085508, 19.58599117817606938 57.78711480807085366, 19.75919625893295617 57.78711480807085366, 19.84579879931139956 57.63711480807085508, 19.75919625893295617 57.4871148080708565, 19.58599117817606938 57.4871148080708565, 19.49938863779762599 57.63711480807085508));56;19.499388637797626;57.787114808070854;19.8457987993114;57.48711480807086;2
Polygon ((19.49938863779762599 56.7371148080708565, 19.58599117817606938 56.88711480807085508, 19.75919625893295617 56.88711480807085508, 19.84579879931139956 56.7371148080708565, 19.75919625893295617 56.58711480807085792, 19.58599117817606938 56.58711480807085792, 19.49938863779762599 56.7371148080708565));59;19.499388637797626;56.887114808070855;19.8457987993114;56.58711480807086;2
Polygon ((19.49938863779762599 57.03711480807085366, 19.58599117817606938 57.18711480807085934, 19.75919625893295617 57.18711480807085934, 19.84579879931139956 57.03711480807085366, 19.75919625893295617 56.88711480807085508, 19.58599117817606938 56.88711480807085508, 19.49938863779762599 57.03711480807085366));58;19.499388637797626;57.18711480807086;19.8457987993114;56.887114808070855;1
Polygon ((19.75919625893295617 58.08711480807085792, 19.84579879931139956 58.2371148080708565, 20.01900388006828635 58.2371148080708565, 20.10560642044672974 58.08711480807085792, 20.01900388006828635 57.93711480807085934, 19.84579879931139956 57.93711480807085934, 19.75919625893295617 58.08711480807085792));61;19.759196258932956;58.23711480807086;20.10560642044673;57.93711480807086;0
Polygon ((19.49938863779762599 56.43711480807085934, 19.58599117817606938 56.58711480807085792, 19.75919625893295617 56.58711480807085792, 19.84579879931139956 56.43711480807085934, 19.75919625893295617 56.28711480807085366, 19.58599117817606938 56.28711480807085366, 19.49938863779762599 56.43711480807085934));60;19.499388637797626;56.58711480807086;19.8457987993114;56.287114808070854;0
Polygon ((19.75919625893295617 57.4871148080708565, 19.84579879931139956 57.63711480807085508, 20.01900388006828635 57.63711480807085508, 20.10560642044672974 57.4871148080708565, 20.01900388006828635 57.33711480807085792, 19.84579879931139956 57.33711480807085792, 19.75919625893295617 57.4871148080708565));63;19.759196258932956;57.637114808070855;20.10560642044673;57.33711480807086;0
Polygon ((19.75919625893295617 57.78711480807085366, 19.84579879931139956 57.93711480807085934, 20.01900388006828635 57.93711480807085934, 20.10560642044672974 57.78711480807085366, 20.01900388006828635 57.63711480807085508, 19.84579879931139956 57.63711480807085508, 19.75919625893295617 57.78711480807085366));62;19.759196258932956;57.93711480807086;20.10560642044673;57.637114808070855;0
Polygon ((19.23958101666229226 58.08711480807085792, 19.32618355704073565 58.2371148080708565, 19.49938863779762244 58.2371148080708565, 19.58599117817606583 58.08711480807085792, 19.49938863779762244 57.93711480807085934, 19.32618355704073565 57.93711480807085934, 19.23958101666229226 58.08711480807085792));49;19.239581016662292;58.23711480807086;19.585991178176066;57.93711480807086;1
Polygon ((18.97977339552696208 56.43711480807085934, 19.06637593590540547 56.58711480807085792, 19.23958101666229226 56.58711480807085792, 19.32618355704073565 56.43711480807085934, 19.23958101666229226 56.28711480807085366, 19.06637593590540547 56.28711480807085366, 18.97977339552696208 56.43711480807085934));48;18.979773395526962;56.58711480807086;19.326183557040736;56.287114808070854;0
Polygon ((19.23958101666229226 57.4871148080708565, 19.32618355704073565 57.63711480807085508, 19.49938863779762244 57.63711480807085508, 19.58599117817606583 57.4871148080708565, 19.49938863779762244 57.33711480807085792, 19.32618355704073565 57.33711480807085792, 19.23958101666229226 57.4871148080708565));51;19.239581016662292;57.637114808070855;19.585991178176066;57.33711480807086;1
Polygon ((19.23958101666229226 57.78711480807085366, 19.32618355704073565 57.93711480807085934, 19.49938863779762244 57.93711480807085934, 19.58599117817606583 57.78711480807085366, 19.49938863779762244 57.63711480807085508, 19.32618355704073565 57.63711480807085508, 19.23958101666229226 57.78711480807085366));50;19.239581016662292;57.93711480807086;19.585991178176066;57.637114808070855;0
Polygon ((19.23958101666229226 56.88711480807085508, 19.32618355704073565 57.03711480807085366, 19.49938863779762244 57.03711480807085366, 19.58599117817606583 56.88711480807085508, 19.49938863779762244 56.7371148080708565, 19.32618355704073565 56.7371148080708565, 19.23958101666229226 56.88711480807085508));53;19.239581016662292;57.037114808070854;19.585991178176066;56.73711480807086;3
